Primary Particle Size,DataSourceURL,Specific Surface Area,Component Molecular Weight,3D Dimensionality,Material Type,Aromatic,2D Dimensionality,DataSource,source_pdf,Not Aggreg-Agglom,Dendrimer,SingleCrystal,Lipid,Positive Polarity,Molecular Type,UltraPure,Product Name,UpdatedAt,Bulk Density,Molecular Identity,Aggreg-Agglom,Lambda Max,Molecular Weight,source_nano_db,Agglomerated,IsCrystalline,Polymer,dashboard_data_source,NanomaterialID,Monoclinic,Metal,Macrocyclic,Metal Oxide,Mean Hydrodynamic Diameter,Mean Primary Particle Size,Neutral Polarity,Polycrystalline,VHQ-R subset,Negative Polarity,Aggregated,Carbohydrate,Nucleic Acid,Zeta Potential,Purity99+,Protein,CuratedBy,Group Ii-Vi,Group Iv - Non C
0,http://nanoparticlelibrary.net/report.asp?ID=1,0,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-01-11,0,alkylate,0,0,0,1,0,1,0,nano_database,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=10,0,0,0,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,NiO,1,0,0,1,0,0,0,nano_database,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=100,0,0,1,Metal,0,0,Nanoparticle Information Library,0,1,0,0,0,0,,0,,2013-03-26,0,Au,0,0,0,1,0,0,0,nano_database,3,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=101,0,0,0,,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2012-11-06,0,CdTe,0,0,0,1,0,0,0,nano_database,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=102,0,0,0,Metal Oxide,0,1,Nanoparticle Information Library,0,1,0,0,0,0,,0,,2013-03-26,0,VO2,0,0,0,1,0,0,0,nano_database,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=103,0,0,1,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2012-11-06,0,La0.5Ba0.5MnO3,0,0,0,1,0,0,0,nano_database,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=103,0,0,1,Metal Oxide,0,0,Nanoparticle Information Library,0,0,0,1,0,0,,0,,2012-11-06,0,La0.7Ba0.3MnO3,0,0,0,1,0,0,0,nano_database,6,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
2,http://nanoparticlelibrary.net/report.asp?ID=105,0,0,1,Metal,0,0,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2013-03-26,0,Cr,1,0,0,1,0,0,0,nano_database,9,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=106,0,0,0,Fullerene/Carbon,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2012-11-06,0,C,0,0,0,1,0,0,0,nano_database,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
0,http://nanoparticlelibrary.net/report.asp?ID=104,0,0,0,Metal Oxide,0,1,Nanoparticle Information Library,0,0,0,0,0,0,,0,,2012-11-06,0,barium titanate,0,0,0,1,0,0,0,nano_database,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,DMurry,0,0
